,Time,Liquid Pressure [Pa] ,Liquid Saturation ,Temperature [C] ,Total Tracer_river [M] ,qlx [m/h] ,qly [m/h] ,qlz [m/h] ,northing,easting,elevation,cell_id
3,8644.0,118345.6,1.0,5.718258,1.000002,-4.664922e-05,1.007325e-05,-0.000459313,116310.0,594470.0,103.984,12971.0
4,8645.0,118374.6,1.0,5.717476,1.000002,-4.448962e-05,9.59376e-06,-0.0004380874,116310.0,594470.0,103.984,12971.0
5,8646.0,118178.6,1.0,5.716572,1.000002,-3.843255e-05,8.163489e-06,-0.000379278,116310.0,594470.0,103.984,12971.0
6,8647.0,117770.7,1.0,5.715645,1.000002,-3.025238e-05,6.239186e-06,-0.0002999616,116310.0,594470.0,103.984,12971.0
7,8648.0,117288.1,1.0,5.71471,1.000002,-2.237632e-05,4.388022e-06,-0.0002235514,116310.0,594470.0,103.984,12971.0
8,8649.0,116501.4,1.0,5.713672,1.000001,-8.808642e-06,1.250488e-06,-9.148056e-05,116310.0,594470.0,103.984,12971.0
9,8650.0,116071.5,1.0,5.712563,1.000001,-3.956522e-06,1.779307e-07,-4.397163e-05,116310.0,594470.0,103.984,12971.0
10,8651.0,115241.4,1.0,5.711248,1.000001,8.898146e-06,-2.858067e-06,8.076654e-05,116310.0,594470.0,103.984,12971.0
11,8652.0,114571.2,1.0,5.70979,1.0,1.70698e-05,-4.66235e-06,0.0001609999,116310.0,594470.0,103.984,12971.0
0,8641.0,119908.7,1.0,5.768068,1.000002,-5.045866e-05,-1.623266e-05,-0.0005856554,116310.0,594460.0,103.647,54782.0
1,8642.0,120415.7,1.0,5.768393,1.000002,-6.219943e-05,-2.007168e-05,-0.0007215738,116310.0,594460.0,103.647,54782.0
2,8643.0,120701.9,1.0,5.768703,1.000002,-6.445765e-05,-2.087005e-05,-0.0007483831,116310.0,594460.0,103.647,54782.0
3,8644.0,120933.3,1.0,5.768996,1.000002,-6.602501e-05,-2.132879e-05,-0.0007675723,116310.0,594460.0,103.647,54782.0
4,8645.0,120996.2,1.0,5.769282,1.000002,-6.287761e-05,-2.035963e-05,-0.0007316948,116310.0,594460.0,103.647,54782.0
5,8646.0,120895.3,1.0,5.769559,1.000002,-5.435661e-05,-1.781816e-05,-0.0006327873,116310.0,594460.0,103.647,54782.0
6,8647.0,120614.4,1.0,5.769841,1.000002,-4.296027e-05,-1.434386e-05,-0.0005003547,116310.0,594460.0,103.647,54782.0
7,8648.0,120253.5,1.0,5.770132,1.000002,-3.205837e-05,-1.09732e-05,-0.0003733021,116310.0,594460.0,103.647,54782.0
8,8649.0,119678.8,1.0,5.770444,1.000001,-1.301052e-05,-5.184534e-06,-0.0001514966,116310.0,594460.0,103.647,54782.0
9,8650.0,119322.2,1.0,5.770767,1.000001,-6.302275e-06,-2.951978e-06,-7.34357e-05,116310.0,594460.0,103.647,54782.0
10,8651.0,118693.3,1.0,5.771153,1.000001,1.166694e-05,2.44848e-06,0.0001362659,116310.0,594460.0,103.647,54782.0
11,8652.0,118149.9,1.0,5.771589,1.000001,2.320759e-05,6.119554e-06,0.0002708982,116310.0,594460.0,103.647,54782.0
