# Datetime,-1cm,-5cm,-15cm,-25cm,-65cm
4/1/2017 0:00,5.249499225529913,5.3933324680113115,5.387078664497282,5.282787102293023,5.267359119569322
4/1/2017 0:05,5.4332511679535855,5.413439879696323,5.290149391148285,5.30001822367595,5.497845197890214
4/1/2017 0:10,5.536874240126858,5.368876082694481,5.293224596106568,5.431726484957413,5.6601111050553
4/1/2017 0:15,5.509773709189164,5.4127636072520495,5.3622493274917,5.297854657562939,5.624532333530076
4/1/2017 0:20,5.455494610259019,5.40872248113017,5.346356030385391,5.270459271886426,5.637982814527467
4/1/2017 0:25,5.4571710295182845,5.325653059621201,5.351566035343779,5.300678869670022,5.60663717694468
4/1/2017 0:30,5.376550490382099,5.413842612001223,5.325829590667005,5.310724599101205,5.538980106655426
4/1/2017 0:35,5.523342459871946,5.432187534389126,5.397534057981955,5.365139953245412,5.621055812173283
4/1/2017 0:40,5.4304468695216555,5.410991542593289,5.357259092551349,5.281550631273353,5.651003143833146
4/1/2017 0:45,5.43099041488203,5.453054694063247,5.445990900022061,5.372873937579131,5.5938643983298
4/1/2017 0:50,5.480123427331444,5.397768041562239,5.387080428335174,5.31006809226305,5.692966415445853
4/1/2017 0:55,5.428403107424051,5.474496378050475,5.35543713657722,5.2734570621069246,5.501218023005818
4/1/2017 1:00,5.395600631963937,5.479170547089531,5.459739095524612,5.300199447753059,5.629086184499381
4/1/2017 1:05,5.5033053207801785,5.45771458461905,5.38610386593446,5.357817966438802,5.558311085463789
4/1/2017 1:10,5.429398454537574,5.390051033604608,5.420778416016163,5.282987997863765,5.619277273785705
4/1/2017 1:15,5.364311476970204,5.411862241700394,5.438742783803529,5.319057331350195,5.514233422479852
4/1/2017 1:20,5.415898234951327,5.556378759167661,5.47271347803271,5.3960029490184995,5.632393534296729
4/1/2017 1:25,5.427499653252601,5.4496610538365955,5.4051329589900305,5.3544746922846365,5.495550994215729
4/1/2017 1:30,5.382992027591426,5.530395389865351,5.375429947568835,5.298288795446147,5.6372783659918335
4/1/2017 1:35,5.405868917692851,5.378394821165315,5.413952847853323,5.416970902528667,5.651192703744157
4/1/2017 1:40,5.378194331457051,5.429927504781485,5.409916061119765,5.405598203464102,5.596243509347956
4/1/2017 1:45,5.3989893985593165,5.405775398978934,5.452146305964545,5.380379896424763,5.668109121088853
4/1/2017 1:50,5.304513241894136,5.387200902612719,5.4609356705044165,5.327349999444481,5.625883566066211
4/1/2017 1:55,5.403390866623662,5.479544776579613,5.35917007886882,5.376158935352503,5.5988918947880375
4/1/2017 2:00,5.4478221075308255,5.421415817180047,5.411540446150865,5.357657710120294,5.5465259836484755
4/1/2017 2:05,5.4044895371876125,5.411514484608638,5.459747575477102,5.358981983881591,5.675491659747463
4/1/2017 2:10,5.376690775662336,5.340452403906816,5.353400507130204,5.427039134348635,5.529964676642466
4/1/2017 2:15,5.37793474588839,5.424911316946706,5.450381899429623,5.454980458642878,5.607127444199714
4/1/2017 2:20,5.361901756541883,5.3838356258545685,5.410822553156733,5.353580540813694,5.614030019687927
4/1/2017 2:25,5.345188753358806,5.37232223884739,5.399665207408942,5.3648351955816285,5.539700895623734
4/1/2017 2:30,5.2672074208550255,5.375311983762175,5.514495082824642,5.400954009283502,5.579629714107789
4/1/2017 2:35,5.363745721302212,5.459310518481072,5.415572933170477,5.405351495770199,5.568246294751975
4/1/2017 2:40,5.34232285349652,5.307755930486667,5.38125253904482,5.397096319104487,5.562357379633191
4/1/2017 2:45,5.276429335851427,5.396417374596516,5.415782628033285,5.379434900758507,5.56212930277112
4/1/2017 2:50,5.381178595017018,5.388280406227768,5.2995180269984195,5.387572884749131,5.545367808204732
4/1/2017 2:55,5.336733481986848,5.335077519603599,5.385719242070745,5.38808802079369,5.627139463257328
4/1/2017 3:00,5.337555617934842,5.385537601863524,5.405625094145903,5.441530884980948,5.61946488404439
4/1/2017 3:05,5.3603665201041215,5.363941005648444,5.426401858860365,5.370946616208447,5.633621784669532
4/1/2017 3:10,5.2613498299093555,5.297038922133275,5.4350371423282,5.403304719721007,5.582860826816315
4/1/2017 3:15,5.2345359391431865,5.391079760974669,5.4036844920851745,5.369751287119917,5.592740639219525
4/1/2017 3:20,5.281917127543496,5.337226224125006,5.344886363965511,5.334615273880948,5.616710939497989
4/1/2017 3:25,5.340576218405896,5.253724212917162,5.248040777346988,5.460432897846284,5.474703812126247
4/1/2017 3:30,5.324688229859355,5.369737190076264,5.382045499392646,5.413784437040833,5.580063562095541
4/1/2017 3:35,5.294688735172105,5.246774467661217,5.3224506966805585,5.387084860545438,5.650444009344462
4/1/2017 3:40,5.303804816913005,5.3584410374991736,5.295880578160007,5.395232429983198,5.7028647632550635
4/1/2017 3:45,5.277932151290372,5.248526808311644,5.407699498054258,5.332273008435124,5.57432655087297
4/1/2017 3:50,5.286775016468021,5.2360019438445935,5.378658554822185,5.44482651290349,5.520779755406433
4/1/2017 3:55,5.262860496563796,5.301383708409774,5.384619162062942,5.484881079549608,5.601376335393288
4/1/2017 4:00,5.280712665469748,5.266025914316131,5.363711949508944,5.3903083992306335,5.580459000840175
4/1/2017 4:05,5.317768544342339,5.296924363446126,5.360162537489683,5.437492851179171,5.552150019937852
4/1/2017 4:10,5.287049849650145,5.287397126478171,5.337586580118845,5.444441221892605,5.56002895602386
4/1/2017 4:15,5.117536366327331,5.285591997160135,5.292264853435235,5.388363582282884,5.624125263396271
4/1/2017 4:20,5.3132193487303,5.249393433739446,5.263486809891018,5.369538246191696,5.57863214685934
