# Datetime,-1cm,-5cm,-15cm,-25cm,-65cm
4/1/2017 0:00,5.348982617161396,5.328270337828965,5.383562656868796,5.313916154286356,5.359576722649116
4/1/2017 0:05,5.39953077578574,5.300674197196864,5.30019258132103,5.330594418335987,5.525544368315795
4/1/2017 0:10,5.4459845723758775,5.336192658214021,5.331689630670587,5.303636868788751,5.54604046925662
4/1/2017 0:15,5.492441523301888,5.390603436688807,5.377377976682686,5.338831679020656,5.5989126821071915
4/1/2017 0:20,5.474406442050718,5.404568220587356,5.267012581426101,5.303561850586721,5.553033764712391
4/1/2017 0:25,5.458010325590247,5.4150379898641,5.379300406314875,5.350919303007959,5.556922117129917
4/1/2017 0:30,5.456495245265127,5.387882696308047,5.346058527553491,5.229342230640862,5.585136686906688
4/1/2017 0:35,5.454174815790443,5.44851886216131,5.302642918843906,5.274672748176537,5.608069511630197
4/1/2017 0:40,5.489299647319131,5.41816160060232,5.280760517450022,5.368104298933238,5.593732724450367
4/1/2017 0:45,5.495299186870137,5.480914967336457,5.286775859977385,5.368224942601372,5.591480389844219
4/1/2017 0:50,5.471492614540734,5.46316687327249,5.431459054794078,5.378874773835196,5.6537172700261165
4/1/2017 0:55,5.469156999003245,5.509407829300271,5.321443929560301,5.309629796350519,5.635281436807891
4/1/2017 1:00,5.4585755767633595,5.462475306919089,5.374396832193205,5.372177995450932,5.548810560687645
4/1/2017 1:05,5.377597322472065,5.4241114674862505,5.3140902600010325,5.295098830036372,5.632089961589271
4/1/2017 1:10,5.4286712276933535,5.419108772620081,5.363983190320788,5.357709580722544,5.623374017543914
4/1/2017 1:15,5.463536147208903,5.398061280420898,5.3981974875909655,5.393285391621608,5.597687312261455
4/1/2017 1:20,5.433375155800529,5.402800505495169,5.36240762110709,5.360716092671405,5.600145007286551
4/1/2017 1:25,5.410856241591603,5.413668131474271,5.367721279385042,5.376610628965113,5.559050233776199
4/1/2017 1:30,5.394078265038093,5.428598790262623,5.434560169937008,5.3493585836122906,5.5876754488974845
4/1/2017 1:35,5.45674590930972,5.4563261777283385,5.41555749949752,5.361255606853719,5.569617232021085
4/1/2017 1:40,5.481662528925345,5.402403427872117,5.440510910086377,5.324579062737186,5.559287844619988
4/1/2017 1:45,5.352309154541947,5.431477980320346,5.299458603735421,5.393954369371744,5.543076129484543
4/1/2017 1:50,5.387592055263349,5.406198919323572,5.411788715992772,5.311438276354186,5.567451674708993
4/1/2017 1:55,5.362796266779741,5.411080540359216,5.419031922089483,5.399512959807573,5.630300351942355
4/1/2017 2:00,5.385037398260218,5.356107785525466,5.442359177354535,5.335300601777215,5.549403279798006
4/1/2017 2:05,5.370466055855925,5.41644999680555,5.466456307235562,5.37905373383139,5.650130962071652
4/1/2017 2:10,5.3130130186576965,5.311041124655221,5.370462847514425,5.408786037225009,5.510783801509764
4/1/2017 2:15,5.42285321793282,5.3433071904895755,5.3761959704810565,5.391303390828886,5.585323481365724
4/1/2017 2:20,5.344196593607521,5.396723614801818,5.388349378439701,5.29410656780236,5.580356148621303
4/1/2017 2:25,5.332717819601561,5.415651970328474,5.40096031951399,5.389030570953103,5.627556829744522
4/1/2017 2:30,5.32627686651593,5.379304001203675,5.443096549419289,5.471937391766265,5.5454621637249755
4/1/2017 2:35,5.2908178035554965,5.37785614292313,5.43799093608818,5.382907213315058,5.625856605445946
4/1/2017 2:40,5.35969992906382,5.377543975590581,5.414008672318413,5.417998603114671,5.597011193820164
4/1/2017 2:45,5.327387155791966,5.301766229341708,5.3153023834828295,5.364999435411943,5.610114994215387
4/1/2017 2:50,5.315908322552082,5.347375658249441,5.3980391242779096,5.301868364011116,5.552376438788911
4/1/2017 2:55,5.34248542282182,5.421525808947563,5.359828028734428,5.38889407411731,5.646238321086966
4/1/2017 3:00,5.323094943874517,5.3240329910315305,5.368477348699105,5.3604974793177185,5.654444067531778
4/1/2017 3:05,5.334655567427872,5.338063199156257,5.408934937661106,5.431539598815871,5.6002496108910576
4/1/2017 3:10,5.320834516222613,5.324667416631279,5.412990471692638,5.440915235508564,5.565518163039517
4/1/2017 3:15,5.335255579942278,5.3789233606988684,5.3638380043078175,5.360239877142451,5.5634693587954285
4/1/2017 3:20,5.299331412187301,5.306502733224346,5.364157249883511,5.454803850380377,5.593066764036613
4/1/2017 3:25,5.2813940173588785,5.336420614980227,5.3264527763143725,5.338377989190786,5.624411397159625
4/1/2017 3:30,5.330854384930823,5.320064409737968,5.318285719115429,5.353529568254251,5.543730810370338
4/1/2017 3:35,5.256411334356462,5.308328004418278,5.38294236671651,5.386787341902182,5.586536550996097
4/1/2017 3:40,5.281490736288335,5.327368242314847,5.36755765870347,5.374833834138849,5.569020195482099
4/1/2017 3:45,5.313314048233262,5.3118813969845595,5.316917257069528,5.354588447795765,5.570021038790244
4/1/2017 3:50,5.329134312641209,5.355726611034927,5.421888444373339,5.409923137725859,5.638575786686595
4/1/2017 3:55,5.229401581926468,5.303905155338246,5.418315421652596,5.407675482928485,5.5972543528858685
4/1/2017 4:00,5.280867393632552,5.228997596784435,5.374434768613132,5.455507276232682,5.600183417389947
4/1/2017 4:05,5.285155594754587,5.318727336137077,5.3398669627988005,5.412233889635623,5.610518427778263
4/1/2017 4:10,5.280197890798645,5.313095808872343,5.385652659562131,5.456334097454755,5.606279276929934
4/1/2017 4:15,5.296526435501814,5.31068167709142,5.3784390036508825,5.381765632702769,5.571653406705553
4/1/2017 4:20,5.251664024433071,5.3281496106139254,5.23939229917198,5.285642959127305,5.638235390670929
