time,true_flux(m/d)
4/1/2017 13:39,0.957074894
4/1/2017 13:44,0.945444096
4/1/2017 13:49,0.933813051
4/1/2017 13:54,0.92218139
4/1/2017 13:59,0.914800855
4/1/2017 14:04,0.907430688
4/1/2017 14:09,0.900049166
4/1/2017 14:14,0.892678382
4/1/2017 14:19,0.885296242
4/1/2017 14:24,0.877924718
4/1/2017 14:29,0.870541961
4/1/2017 14:34,0.863170079
4/1/2017 14:39,0.855786779
4/1/2017 14:44,0.848414242
4/1/2017 14:49,0.841030375
4/1/2017 14:54,0.833657283
4/1/2017 14:59,0.828365628
4/1/2017 15:04,0.823073616
4/1/2017 15:09,0.817792428
4/1/2017 15:14,0.812499935
4/1/2017 15:19,0.807207219
4/1/2017 15:24,0.801914268
4/1/2017 15:29,0.796632167
4/1/2017 15:34,0.791338785
4/1/2017 15:39,0.786045193
4/1/2017 15:44,0.780751366
4/1/2017 15:49,0.775468401
4/1/2017 15:54,0.770174179
4/1/2017 15:59,0.777600753
4/1/2017 16:04,0.785027253
4/1/2017 16:09,0.792454098
4/1/2017 16:14,0.799881313
4/1/2017 16:19,0.807308899
4/1/2017 16:24,0.814736868
4/1/2017 16:29,0.822165219
4/1/2017 16:34,0.829593952
4/1/2017 16:39,0.837023081
4/1/2017 16:44,0.844463713
4/1/2017 16:49,0.851893657
4/1/2017 16:54,0.859324032
4/1/2017 16:59,0.846823532
4/1/2017 17:04,0.834311874
4/1/2017 17:09,0.821810621
4/1/2017 17:14,0.809308714
4/1/2017 17:19,0.796806177
4/1/2017 17:24,0.784302998
4/1/2017 17:29,0.771799227
4/1/2017 17:34,0.759294852
4/1/2017 17:39,0.746789908
4/1/2017 17:44,0.734284397
4/1/2017 17:49,0.72177833
4/1/2017 17:54,0.709260624
4/1/2017 17:59,0.715240047
4/1/2017 18:04,0.721207917
4/1/2017 18:09,0.727175948
4/1/2017 18:14,0.733144176
4/1/2017 18:19,0.739123673
4/1/2017 18:24,0.745092284
4/1/2017 18:29,0.751061092
4/1/2017 18:34,0.757041182
4/1/2017 18:39,0.76301041
4/1/2017 18:44,0.768979835
4/1/2017 18:49,0.774949483
4/1/2017 18:54,0.780930424
4/1/2017 18:59,0.753070694
4/1/2017 19:04,0.725221888
4/1/2017 19:09,0.697371848
4/1/2017 19:14,0.669509576
4/1/2017 19:19,0.641657302
4/1/2017 19:24,0.613804003
4/1/2017 19:29,0.585938683
4/1/2017 19:34,0.558083545
4/1/2017 19:39,0.530227592
4/1/2017 19:44,0.50237085
4/1/2017 19:49,0.474502295
4/1/2017 19:54,0.446644171
4/1/2017 19:59,0.471111182
4/1/2017 20:04,0.495588043
4/1/2017 20:09,0.520054424
4/1/2017 20:14,0.544521374
4/1/2017 20:19,0.569
4/1/2017 20:24,0.593468196
4/1/2017 20:29,0.617937046
4/1/2017 20:34,0.642417659
4/1/2017 20:39,0.666887879
4/1/2017 20:44,0.691358791
4/1/2017 20:49,0.715841515
4/1/2017 20:54,0.740313895
4/1/2017 20:59,0.72392384
4/1/2017 21:04,0.707545596
4/1/2017 21:09,0.691155603
4/1/2017 21:14,0.674776076
4/1/2017 21:19,0.65838491
4/1/2017 21:24,0.641993188
4/1/2017 21:29,0.625612044
4/1/2017 21:34,0.609219298
4/1/2017 21:39,0.592837192
4/1/2017 21:44,0.576443545
4/1/2017 21:49,0.56004949
4/1/2017 21:54,0.5436661
4/1/2017 21:59,0.529132867
4/1/2017 22:04,0.514599252
4/1/2017 22:09,0.500065328
4/1/2017 22:14,0.485531107
4/1/2017 22:19,0.470985531
4/1/2017 22:24,0.45645078
4/1/2017 22:29,0.44191577
4/1/2017 22:34,0.42738055
4/1/2017 22:39,0.412845095
4/1/2017 22:44,0.398309443
4/1/2017 22:49,0.383773594
4/1/2017 22:54,0.369237584
4/1/2017 22:59,0.391736835
4/1/2017 23:04,0.414223978
4/1/2017 23:09,0.436722427
4/1/2017 23:14,0.459221122
4/1/2017 23:19,0.481720065
4/1/2017 23:24,0.504219279
4/1/2017 23:29,0.526707706
4/1/2017 23:34,0.549207488
4/1/2017 23:39,0.571707553
4/1/2017 23:44,0.594207928
4/1/2017 23:49,0.616697502
4/1/2017 23:54,0.639198481
4/1/2017 23:59,0.643403656
4/2/2017 0:04,0.64762042
4/2/2017 0:09,0.651826027
4/2/2017 0:14,0.656031596
4/2/2017 0:19,0.660237067
4/2/2017 0:24,0.664453559
4/2/2017 0:29,0.668658907
4/2/2017 0:34,0.672864167
4/2/2017 0:39,0.677069366
4/2/2017 0:44,0.681285588
4/2/2017 0:49,0.685490651
4/2/2017 0:54,0.68969564
4/2/2017 0:59,0.690332458
4/2/2017 1:04,0.6909693
4/2/2017 1:09,0.69160592
4/2/2017 1:14,0.692242416
4/2/2017 1:19,0.692878752
4/2/2017 1:24,0.693514915
4/2/2017 1:29,0.694150906
4/2/2017 1:34,0.694786736
4/2/2017 1:39,0.695422454
4/2/2017 1:44,0.696058013
4/2/2017 1:49,0.696693398
4/2/2017 1:54,0.697328698
4/2/2017 1:59,0.69020619
4/2/2017 2:04,0.68308367
4/2/2017 2:09,0.675960941
4/2/2017 2:14,0.668838088
4/2/2017 2:19,0.661715037
4/2/2017 2:24,0.65460291
4/2/2017 2:29,0.647479551
4/2/2017 2:34,0.640356069
4/2/2017 2:39,0.63323245
4/2/2017 2:44,0.626108709
4/2/2017 2:49,0.618984868
4/2/2017 2:54,0.611860917
4/2/2017 2:59,0.601955107
4/2/2017 3:04,0.592038251
4/2/2017 3:09,0.582132405
4/2/2017 3:14,0.572215425
4/2/2017 3:19,0.56230948
4/2/2017 3:24,0.552392414
4/2/2017 3:29,0.542486395
4/2/2017 3:34,0.532569291
4/2/2017 3:39,0.522652151
4/2/2017 3:44,0.512746107
4/2/2017 3:49,0.502828967
4/2/2017 3:54,0.492922936
4/2/2017 3:59,0.500249508
4/2/2017 4:04,0.507586411
4/2/2017 4:09,0.514912069
4/2/2017 4:14,0.522248676
4/2/2017 4:19,0.529585097
4/2/2017 4:24,0.536910299
4/2/2017 4:29,0.544246387
4/2/2017 4:34,0.551571231
4/2/2017 4:39,0.558906961
4/2/2017 4:44,0.566231435
4/2/2017 4:49,0.573566783
4/2/2017 4:54,0.58090192
4/2/2017 4:59,0.595085073
4/2/2017 5:04,0.609278741
4/2/2017 5:09,0.623460981
4/2/2017 5:14,0.637653921
4/2/2017 5:19,0.651846503
4/2/2017 5:24,0.666027632
4/2/2017 5:29,0.680219412
4/2/2017 5:34,0.694399701
4/2/2017 5:39,0.708590617
4/2/2017 5:44,0.722781101
4/2/2017 5:49,0.73696002
4/2/2017 5:54,0.751149516
4/2/2017 5:59,0.719465995
4/2/2017 6:04,0.687784682
4/2/2017 6:09,0.656104011
4/2/2017 6:14,0.624435054
4/2/2017 6:19,0.592755643
4/2/2017 6:24,0.561076823
4/2/2017 6:29,0.529398609
4/2/2017 6:34,0.497720987
4/2/2017 6:39,0.466043945
4/2/2017 6:44,0.434367483
4/2/2017 6:49,0.402702624
